xID,yID,Div,Size0,Size4,Size30
1295,775,0,439,627,771
1298,1403,1,447,602,-1
1364,477,0,470,698,785
1451,471,1,462,724,-1
1450,2591,1,476,685,-1
1485,1879,0,400,509,596
1579,266,0,492,639,796
1582,1508,0,431,499,676
1735,125,2,611,922,-1
1903,2570,0,516,690,831
2128,2875,1,636,810,-1
2204,430,1,503,760,-1
2236,310,1,471,723,-1
2261,2511,0,410,519,596
2263,2215,0,438,668,531
2279,274,1,509,742,-1
2283,1772,0,447,718,791
2366,2783,1,476,694,-1
2395,2085,0,444,601,625
2418,2131,0,581,785,895
2579,2423,0,466,717,895
2608,2853,0,464,690,779
2648,1893,0,416,538,649
2660,1738,0,413,535,657
2738,1554,0,352,457,517
2832,999,0,386,590,701
2878,2773,0,589,916,1014
2911,2192,0,425,410,473
2929,157,2,694,1113,-1
2954,1088,1,521,877,-1
3110,2624,0,461,643,775
3203,1048,1,611,915,-1
3258,2649,2,670,971,-1
3265,2858,1,508,721,-1
3310,1389,2,708,1152,-1
3367,1455,1,595,845,-1
3424,1678,0,454,652,754
3439,2000,0,333,458,578
3450,2843,0,451,615,758
3512,2850,0,410,486,635
3583,2768,2,637,945,-1
3613,362,0,346,521,614
3637,145,0,560,661,778
3726,1618,2,608,913,-1
3775,375,1,533,717,-1
3819,1852,0,499,665,800
3824,2616,0,517,733,889
3876,1458,0,478,760,921
3941,2624,0,498,744,836
3966,1374,1,518,819,-1
3983,1844,0,369,514,619
3999,1133,0,427,696,854
77,219,1,647,800,-1
77,659,2,564,822,-1
90,621,1,415,578,-1
189,735,2,692,1104,-1
206,1075,0,548,687,963
282,517,0,476,718,828
302,185,2,615,963,-1
348,1295,1,677,715,-1
351,2101,2,579,846,-1
354,2596,0,509,713,944
379,1532,3,962,1500,-1
416,1168,1,605,781,-1
469,1865,0,538,815,1073
477,2097,0,422,517,784
543,984,0,487,685,761
538,2166,0,348,472,673
678,231,0,396,576,700
693,1023,2,601,845,-1
713,1698,2,691,1072,-1
793,2783,1,556,774,-1
807,878,1,439,635,-1
818,1999,2,654,1023,-1
850,252,2,642,916,-1
864,1787,0,446,554,660
875,504,0,444,633,796
882,1316,2,542,811,-1
918,1156,2,665,1049,-1
919,2243,2,622,891,-1
917,1762,0,381,502,630
933,2514,2,597,865,-1
946,2595,2,620,942,-1
953,2753,0,450,614,880
988,351,2,609,969,-1
1004,84,2,966,1442,-1
1040,287,0,546,868,931
1071,2541,2,586,888,-1
1199,1106,2,576,910,-1
1253,2480,0,424,646,910
1269,780,2,650,1058,-1
1276,134,1,410,712,-1
1284,520,2,597,964,-1
1287,2390,1,458,680,-1
1288,77,2,449,710,-1
1286,2493,0,345,646,910
1319,1941,2,615,980,-1
1338,2424,2,608,906,-1
1346,2079,2,523,795,-1
1358,1810,2,562,885,-1
1358,257,0,365,527,613
1365,825,2,492,817,-1
1373,191,0,259,460,512
1394,903,0,611,957,1067
1448,133,2,494,751,-1
1451,1705,2,588,930,-1
1458,2230,0,458,619,830
1466,1831,1,453,711,-1
1471,343,2,597,988,-1
1490,2828,1,466,726,-1
1505,2659,1,476,729,-1
1578,215,2,561,901,-1
1595,77,0,533,745,839
1599,1041,0,569,854,1342
1602,1381,0,484,670,777
1604,2426,2,588,899,-1
1630,256,1,424,662,-1
1704,105,2,673,1102,-1
1735,480,0,323,518,664
1793,550,2,768,1210,-1
1816,2838,0,464,607,832
1876,1969,0,437,720,783
1876,1617,0,476,719,916
1889,1158,0,343,504,609
1928,2230,2,485,695,-1
2009,2415,1,469,792,-1
2017,1025,0,397,541,644
2035,2513,0,488,662,803
2164,339,2,612,871,-1
2178,1595,1,497,796,-1
2186,1123,0,396,543,713
2196,547,1,535,901,-1
2297,1147,0,440,632,695
2380,81,0,413,667,489
2383,779,0,396,520,684
2406,2839,0,567,842,998
2410,1449,2,578,896,-1
2446,1731,0,426,605,676
2452,2409,0,472,659,834
2492,830,0,396,528,673
2516,534,0,418,619,802
2520,2293,0,444,692,900
2560,2152,0,432,694,785
2566,129,2,566,951,-1
2628,109,0,360,584,717
2636,2591,0,502,700,845
2710,1286,0,384,613,752
2757,1551,3,566,803,-1
2755,2314,0,435,577,746
2781,2817,2,637,981,-1
2790,1229,0,427,639,689
2792,108,2,638,1096,-1
2928,1537,0,428,767,870
2938,784,2,642,1039,-1
2937,957,0,508,665,906
2963,199,0,406,626,804
2969,2365,1,446,663,-1
2979,1488,0,343,552,734
2990,1574,0,360,588,768
3019,2187,1,514,763,-1
3022,2815,1,546,786,-1
3021,2730,0,456,747,935
3067,829,1,434,656,-1
3076,2076,0,412,601,753
3092,432,2,497,783,-1
3096,2489,0,429,581,703
3107,368,0,547,799,918
3125,2079,2,607,1017,-1
3146,1675,2,651,1021,-1
3199,2034,0,423,688,746
3213,628,1,469,796,-1
3226,238,0,440,643,711
3234,1849,0,435,605,765
3305,2355,0,474,646,738
3309,2831,0,453,634,800
3331,156,0,899,1576,2050
3342,2270,2,526,838,-1
3407,1227,0,483,747,1013
3412,1609,0,471,775,870
3424,1048,2,645,976,-1
3432,1936,2,625,956,-1
3439,2216,0,391,547,720
3448,2819,2,518,830,-1
3501,2377,0,386,546,667
3508,1822,2,574,963,-1
3549,77,0,409,648,771
3601,91,0,409,648,770
3609,1055,1,470,741,-1
3637,226,2,619,846,-1
3641,1865,2,806,1307,-1
3638,2127,2,508,785,-1
3682,579,2,733,1141,-1
3711,77,0,468,600,662
3769,2006,0,497,732,836
3792,1122,0,493,737,877
3797,2820,0,429,670,840
3829,1989,1,422,629,-1
3850,1061,2,620,987,-1
3926,2390,0,454,734,966
3962,163,0,431,674,745
3970,1738,0,411,700,797
3975,1109,0,330,535,688
3985,1302,0,501,710,864

